accuracy,f1,false_match_rate,fn,fp,hits,parameter,positives,precision,recall,specificity,strategy,table,tn,tp
,,,,,9963,10,10000,,0.9963,,default,blocking_recall,,
,,,,,9975,20,10000,,0.9975,,default,blocking_recall,,
,,,,,9981,50,10000,,0.9981,,default,blocking_recall,,
,,,,,9986,100,10000,,0.9986,,default,blocking_recall,,
0.9918,0.9938723658645943,0.0196,25,98,,0.5,,0.990271021542738,0.9975,0.9804,default,threshold_metrics,4902,9975
0.9920666666666667,0.9940698659490707,0.0186,26,93,,0.65,,0.9907618953014801,0.9974,0.9814,default,threshold_metrics,4907,9974
0.9920666666666667,0.9940698659490707,0.0186,26,93,,0.75,,0.9907618953014801,0.9974,0.9814,default,threshold_metrics,4907,9974
0.9967333333333334,0.9975496324448667,0.0046,26,23,,0.85,,0.9976993097929379,0.9974,0.9954,default,threshold_metrics,4977,9974
0.9964666666666666,0.9973490721752614,0.0046,30,23,,0.9,,0.9976983888722105,0.997,0.9954,default,threshold_metrics,4977,9970
0.9976,0.9981978374048859,0.0012,30,6,,0.95,,0.9993985565356857,0.997,0.9988,default,threshold_metrics,4994,9970
,,,,,9961,10,10000,,0.9961,,identity_first,blocking_recall,,
,,,,,9972,20,10000,,0.9972,,identity_first,blocking_recall,,
,,,,,9981,50,10000,,0.9981,,identity_first,blocking_recall,,
,,,,,9986,100,10000,,0.9986,,identity_first,blocking_recall,,
0.9915333333333334,0.9936724627572119,0.0198,28,99,,0.5,,0.9901697944593387,0.9972,0.9802,identity_first,threshold_metrics,4901,9972
0.9918666666666667,0.9939194577352471,0.0186,29,93,,0.65,,0.9907591414944356,0.9971,0.9814,identity_first,threshold_metrics,4907,9971
0.9918666666666667,0.9939194577352471,0.0186,29,93,,0.75,,0.9907591414944356,0.9971,0.9814,identity_first,threshold_metrics,4907,9971
0.9965333333333334,0.9973992197659299,0.0046,29,23,,0.85,,0.9976986191715029,0.9971,0.9954,identity_first,threshold_metrics,4977,9971
0.9962666666666666,0.9971985992996499,0.0046,33,23,,0.9,,0.9976976976976977,0.9967,0.9954,identity_first,threshold_metrics,4977,9967
0.9974,0.9980473639413208,0.0012,33,6,,0.95,,0.9993983756141582,0.9967,0.9988,identity_first,threshold_metrics,4994,9967
,,,,,9986,10,10000,,0.9986,,compact,blocking_recall,,
,,,,,9988,20,10000,,0.9988,,compact,blocking_recall,,
,,,,,9990,50,10000,,0.999,,compact,blocking_recall,,
,,,,,9994,100,10000,,0.9994,,compact,blocking_recall,,
0.994,0.9955143540669857,0.0154,13,77,,0.5,,0.9923489666136724,0.9987,0.9846,compact,threshold_metrics,4923,9987
0.9942666666666666,0.9957124339415695,0.0144,14,72,,0.65,,0.9928415191887056,0.9986,0.9856,compact,threshold_metrics,4928,9986
0.9942666666666666,0.9957124339415695,0.0144,14,72,,0.75,,0.9928415191887056,0.9986,0.9856,compact,threshold_metrics,4928,9986
0.9977333333333334,0.9983005098470459,0.004,14,20,,0.85,,0.9980011992804317,0.9986,0.996,compact,threshold_metrics,4980,9986
0.9974666666666666,0.9981001899810018,0.004,18,20,,0.9,,0.998000399920016,0.9982,0.996,compact,threshold_metrics,4980,9982
0.9984,0.9987992795677406,0.0012,18,6,,0.95,,0.999399279134962,0.9982,0.9988,compact,threshold_metrics,4994,9982
