accuracy,f1,false_match_rate,fn,fp,hits,parameter,positives,precision,recall,specificity,strategy,table,tn,tp
,,,,,9983,10,10000,,0.9983,,default,blocking_recall,,
,,,,,9991,20,10000,,0.9991,,default,blocking_recall,,
,,,,,9994,50,10000,,0.9994,,default,blocking_recall,,
,,,,,9994,100,10000,,0.9994,,default,blocking_recall,,
0.9864666666666667,0.9899430270002476,0.0388,9,194,,0.5,,0.9809523809523809,0.9991,0.9612,default,threshold_metrics,4806,9991
0.9864,0.9898899791852512,0.0382,13,191,,0.65,,0.9812340341913932,0.9987,0.9618,default,threshold_metrics,4809,9987
0.9866666666666667,0.9900862496282344,0.0374,13,187,,0.75,,0.9816198152152545,0.9987,0.9626,default,threshold_metrics,4813,9987
0.9964,0.9973037747153985,0.0082,13,41,,0.85,,0.9959114479457519,0.9987,0.9918,default,threshold_metrics,4959,9987
0.9961333333333333,0.9971034758290052,0.0082,17,41,,0.9,,0.9959098164405427,0.9983,0.9918,default,threshold_metrics,4959,9983
0.9984,0.99879939969985,0.0014,17,7,,0.95,,0.9992992992992993,0.9983,0.9986,default,threshold_metrics,4993,9983
,,,,,9984,10,10000,,0.9984,,identity_first,blocking_recall,,
,,,,,9989,20,10000,,0.9989,,identity_first,blocking_recall,,
,,,,,9994,50,10000,,0.9994,,identity_first,blocking_recall,,
,,,,,9994,100,10000,,0.9994,,identity_first,blocking_recall,,
0.9862666666666666,0.9897938961553706,0.039,11,195,,0.5,,0.9808523173605656,0.9989,0.961,identity_first,threshold_metrics,4805,9989
0.9862,0.989740793973336,0.0384,15,192,,0.65,,0.981133929448757,0.9985,0.9616,identity_first,threshold_metrics,4808,9985
0.9864666666666667,0.9899370445645169,0.0376,15,188,,0.75,,0.9815197090337167,0.9985,0.9624,identity_first,threshold_metrics,4812,9985
0.9962666666666666,0.9972036352741437,0.0082,15,41,,0.85,,0.9959106323558747,0.9985,0.9918,identity_first,threshold_metrics,4959,9985
0.996,0.9970032963739887,0.0082,19,41,,0.9,,0.995909000199561,0.9981,0.9918,identity_first,threshold_metrics,4959,9981
0.9982666666666666,0.998699219531719,0.0014,19,7,,0.95,,0.9992991589907889,0.9981,0.9986,identity_first,threshold_metrics,4993,9981
,,,,,9993,10,10000,,0.9993,,compact,blocking_recall,,
,,,,,9994,20,10000,,0.9994,,compact,blocking_recall,,
,,,,,9996,50,10000,,0.9996,,compact,blocking_recall,,
,,,,,9996,100,10000,,0.9996,,compact,blocking_recall,,
0.9881333333333333,0.9911732619260142,0.0344,6,172,,0.5,,0.9830808577611647,0.9994,0.9656,compact,threshold_metrics,4828,9994
0.988,0.9910705427125707,0.0338,11,169,,0.65,,0.9833628667060444,0.9989,0.9662,compact,threshold_metrics,4831,9989
0.9882666666666666,0.9912672422347921,0.033,11,165,,0.75,,0.9837502462083908,0.9989,0.967,compact,threshold_metrics,4835,9989
0.9965333333333334,0.9974038941587619,0.0082,11,41,,0.85,,0.9959122632103689,0.9989,0.9918,compact,threshold_metrics,4959,9989
0.9962666666666666,0.9972036352741437,0.0082,15,41,,0.9,,0.9959106323558747,0.9985,0.9918,compact,threshold_metrics,4959,9985
0.9984666666666666,0.9988495973590757,0.0016,15,8,,0.95,,0.9991994396077254,0.9985,0.9984,compact,threshold_metrics,4992,9985
