accuracy,f1,false_match_rate,fn,fp,hits,parameter,positives,precision,recall,specificity,strategy,table,tn,tp
,,,,,1596,10,1600,,0.9975,,default,blocking_recall,,
,,,,,1598,20,1600,,0.99875,,default,blocking_recall,,
,,,,,1598,50,1600,,0.99875,,default,blocking_recall,,
,,,,,1598,100,1600,,0.99875,,default,blocking_recall,,
0.9979166666666667,0.9984379881287098,0.00375,2,3,,0.5,,0.9981261711430356,0.99875,0.99625,default,threshold_metrics,797,1598
0.9979166666666667,0.9984379881287098,0.00375,2,3,,0.65,,0.9981261711430356,0.99875,0.99625,default,threshold_metrics,797,1598
0.9979166666666667,0.9984379881287098,0.00375,2,3,,0.75,,0.9981261711430356,0.99875,0.99625,default,threshold_metrics,797,1598
0.9991666666666666,0.9993746091307067,0.0,2,0,,0.85,,1.0,0.99875,1.0,default,threshold_metrics,800,1598
0.9991666666666666,0.9993746091307067,0.0,2,0,,0.9,,1.0,0.99875,1.0,default,threshold_metrics,800,1598
0.9991666666666666,0.9993746091307067,0.0,2,0,,0.95,,1.0,0.99875,1.0,default,threshold_metrics,800,1598
,,,,,1596,10,1600,,0.9975,,identity_first,blocking_recall,,
,,,,,1598,20,1600,,0.99875,,identity_first,blocking_recall,,
,,,,,1598,50,1600,,0.99875,,identity_first,blocking_recall,,
,,,,,1598,100,1600,,0.99875,,identity_first,blocking_recall,,
0.9979166666666667,0.9984379881287098,0.00375,2,3,,0.5,,0.9981261711430356,0.99875,0.99625,identity_first,threshold_metrics,797,1598
0.9979166666666667,0.9984379881287098,0.00375,2,3,,0.65,,0.9981261711430356,0.99875,0.99625,identity_first,threshold_metrics,797,1598
0.9979166666666667,0.9984379881287098,0.00375,2,3,,0.75,,0.9981261711430356,0.99875,0.99625,identity_first,threshold_metrics,797,1598
0.9991666666666666,0.9993746091307067,0.0,2,0,,0.85,,1.0,0.99875,1.0,identity_first,threshold_metrics,800,1598
0.9991666666666666,0.9993746091307067,0.0,2,0,,0.9,,1.0,0.99875,1.0,identity_first,threshold_metrics,800,1598
0.9991666666666666,0.9993746091307067,0.0,2,0,,0.95,,1.0,0.99875,1.0,identity_first,threshold_metrics,800,1598
,,,,,1599,10,1600,,0.999375,,compact,blocking_recall,,
,,,,,1599,20,1600,,0.999375,,compact,blocking_recall,,
,,,,,1599,50,1600,,0.999375,,compact,blocking_recall,,
,,,,,1599,100,1600,,0.999375,,compact,blocking_recall,,
0.9983333333333333,0.9987507807620237,0.00375,1,3,,0.5,,0.99812734082397,0.999375,0.99625,compact,threshold_metrics,797,1599
0.9983333333333333,0.9987507807620237,0.00375,1,3,,0.65,,0.99812734082397,0.999375,0.99625,compact,threshold_metrics,797,1599
0.9983333333333333,0.9987507807620237,0.00375,1,3,,0.75,,0.99812734082397,0.999375,0.99625,compact,threshold_metrics,797,1599
0.9995833333333334,0.9996874023132228,0.0,1,0,,0.85,,1.0,0.999375,1.0,compact,threshold_metrics,800,1599
0.9995833333333334,0.9996874023132228,0.0,1,0,,0.9,,1.0,0.999375,1.0,compact,threshold_metrics,800,1599
0.9995833333333334,0.9996874023132228,0.0,1,0,,0.95,,1.0,0.999375,1.0,compact,threshold_metrics,800,1599
